run_number,Version,density,fraction_majority,value_homophily,ethnic_homophily,move_anyway,step,turtles,unhappy,simcolor,simcolorS,simcolorC,simcolorRS,simcolorRC,simcolorGS,simcolorGC,simshape,simshapeS,simshapeC,simshapeRS,simshapeRC,simshapeGS,simshapeGC,numnei,numneiS,numneiC,numneiRS,numneiGS,numneiRC,numneiGC
1,Original_Schelling,70,50,0,0,0,0,1805,0,0.49,0.49,NA,0.5,NA,0.49,NA,1,1,NA,1,NA,1,NA,0.7,0.7,NA,0.7,0.7,NA,NA
2,Original_Schelling,70,50,0,0,0,0,1836,0,0.5,0.5,NA,0.51,NA,0.49,NA,1,1,NA,1,NA,1,NA,0.71,0.71,NA,0.71,0.71,NA,NA
3,Original_Schelling,70,50,0,0,0,0,1840,0,0.5,0.5,NA,0.49,NA,0.51,NA,1,1,NA,1,NA,1,NA,0.71,0.71,NA,0.71,0.71,NA,NA
4,Original_Schelling,70,50,0,0,0,0,1835,0,0.5,0.5,NA,0.49,NA,0.51,NA,1,1,NA,1,NA,1,NA,0.71,0.71,NA,0.71,0.71,NA,NA
5,Original_Schelling,70,50,0,0,0,0,1809,0,0.5,0.5,NA,0.5,NA,0.49,NA,1,1,NA,1,NA,1,NA,0.7,0.7,NA,0.7,0.7,NA,NA
6,Original_Schelling,70,50,0,0,0,0,1813,0,0.5,0.5,NA,0.5,NA,0.51,NA,1,1,NA,1,NA,1,NA,0.7,0.7,NA,0.7,0.7,NA,NA
7,Original_Schelling,70,50,0,0,0,0,1835,0,0.5,0.5,NA,0.5,NA,0.5,NA,1,1,NA,1,NA,1,NA,0.7,0.7,NA,0.71,0.7,NA,NA
8,Original_Schelling,70,50,0,0,0,0,1828,0,0.51,0.51,NA,0.51,NA,0.51,NA,1,1,NA,1,NA,1,NA,0.7,0.7,NA,0.7,0.71,NA,NA
9,Original_Schelling,70,50,0,0,0,0,1821,0,0.49,0.49,NA,0.49,NA,0.48,NA,1,1,NA,1,NA,1,NA,0.7,0.7,NA,0.71,0.7,NA,NA
10,Original_Schelling,70,50,0,0,0,0,1796,0,0.5,0.5,NA,0.51,NA,0.49,NA,1,1,NA,1,NA,1,NA,0.69,0.69,NA,0.69,0.69,NA,NA
